1600747200000,0.85000000,6.00000000,0.85000000,4.90960000,6369386.27000000,1600761599999,30586823.64853400,65567,3281877.77000000,15834254.23706200,0
1600761600000,4.90960000,7.00000000,4.82000000,5.76790000,12206384.53000000,1600775999999,72562989.31645300,143010,6401175.54000000,38029511.64586300,0
1600776000000,5.76790000,6.15000000,4.31100000,4.66990000,6012583.05000000,1600790399999,31369507.05378900,84276,2803116.05000000,14625206.67814500,0
1600790400000,4.66910000,4.89020000,4.02660000,4.48000000,3739983.85000000,1600804799999,16817331.03738700,46355,1818393.01000000,8189857.37710800,0
1600804800000,4.48540000,5.54990000,4.23540000,5.31930000,3113545.46000000,1600819199999,15378664.36764700,36676,1563246.33000000,7712971.65186900,0
1600819200000,5.32790000,5.36000000,4.60000000,4.91350000,1558881.51000000,1600833599999,7664213.77544400,22006,723758.62000000,3570423.98835400,0
1600833600000,4.91350000,4.94550000,3.91690000,4.11970000,2730293.14000000,1600847999999,11802091.35540600,38590,1222200.34000000,5283731.99174800,0
1600848000000,4.11840000,4.40000000,4.02950000,4.21080000,1779716.39000000,1600862399999,7508313.32683600,29382,889665.43000000,3756059.30561500,0
1600862400000,4.21080000,4.61720000,4.01910000,4.10730000,2598338.02000000,1600876799999,11103997.24014000,31271,1274689.06000000,5454581.36431900,0
1600876800000,4.09960000,4.33000000,3.65000000,3.72380000,2106852.31000000,1600891199999,8452019.11525800,23633,938347.48000000,3779336.76683300,0
1600891200000,3.71490000,3.96040000,3.40000000,3.53500000,1846526.64000000,1600905599999,6624586.05619800,23454,927195.93000000,3333669.16278000,0
1600905600000,3.53050000,3.82840000,3.40330000,3.73980000,913599.64000000,1600919999999,3336204.57528000,14447,456617.46000000,1670782.05078600,0
1600920000000,3.73970000,3.92000000,3.52800000,3.83230000,850042.49000000,1600934399999,3149608.19302300,13789,426193.46000000,1582252.76481600,0
1600934400000,3.83400000,4.45370000,3.83400000,4.31790000,1993803.24000000,1600948799999,8246780.49479600,26972,1026422.26000000,4246803.63725100,0
1600948800000,4.31320000,4.37000000,3.75000000,4.14660000,1533959.78000000,1600963199999,6216965.24249000,22204,678576.54000000,2756500.60883100,0
1600963200000,4.14880000,4.29000000,3.99550000,4.18280000,579642.46000000,1600977599999,2408955.94939800,9308,270582.61000000,1127660.57490700,0
1600977600000,4.18950000,4.88730000,4.08060000,4.64110000,1236796.25000000,1600991999999,5554018.86372100,18086,624031.11000000,2792364.80527600,0
1600992000000,4.63660000,4.80420000,4.43520000,4.53100000,670412.70000000,1601006399999,3082303.72949800,13791,316569.83000000,1457283.39538900,0
1601006400000,4.53100000,4.83030000,4.43510000,4.57620000,699195.42000000,1601020799999,3220651.90089700,14703,353268.71000000,1628557.08803500,0
1601020800000,4.57260000,4.66970000,4.20010000,4.37810000,690196.96000000,1601035199999,3052861.87059700,13458,312983.28000000,1384460.58853400,0
1601035200000,4.38090000,4.71010000,4.32500000,4.70010000,673996.70000000,1601049599999,3044547.50195500,12101,351583.41000000,1591324.34629000,0
1601049600000,4.71010000,4.83490000,4.61480000,4.71190000,541252.56000000,1601063999999,2559765.69945100,11275,292364.57000000,1384556.92561000,0
1601064000000,4.71670000,5.02340000,4.58500000,4.71340000,611042.37000000,1601078399999,2950545.39374900,13053,312757.23000000,1513513.30761300,0
1601078400000,4.71640000,4.72810000,4.50030000,4.53600000,292217.38000000,1601092799999,1355760.09232500,6481,148314.27000000,690004.58775900,0
1601092800000,4.54350000,4.82000000,4.52800000,4.68000000,256382.40000000,1601107199999,1201399.41001700,5368,127602.37000000,597654.04853200,0
1601107200000,4.68000000,4.68820000,4.51070000,4.56460000,233751.47000000,1601121599999,1071249.35900500,4564,113514.83000000,520385.62329100,0
